Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteGhibli,Firefox 57.0,,2018-02-14 17:24:28,2018-02-14 17:25:12,"44,006s",FAILED
,,,,,,
Test Cases/Login,Firefox 57.0,,2018-02-14 17:24:29,2018-02-14 17:25:02,"33,024s",PASSED
openBrowser,Firefox 57.0,,2018-02-14 17:24:31,2018-02-14 17:24:55,"24,078s",PASSED
Statement - input_login = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_username),Firefox 57.0,,2018-02-14 17:24:55,2018-02-14 17:24:55,"0,018s",PASSED
Statement - input_pwd = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_password),Firefox 57.0,,2018-02-14 17:24:55,2018-02-14 17:24:55,"0,010s",PASSED
verifyElementPresent,Firefox 57.0,,2018-02-14 17:24:55,2018-02-14 17:24:56,"0,390s",PASSED
verifyElementPresent,Firefox 57.0,,2018-02-14 17:24:56,2018-02-14 17:24:56,"0,028s",PASSED
setText,Firefox 57.0,,2018-02-14 17:24:56,2018-02-14 17:24:56,"0,142s",PASSED
setText,Firefox 57.0,,2018-02-14 17:24:56,2018-02-14 17:24:56,"0,079s",PASSED
delay,Firefox 57.0,,2018-02-14 17:24:56,2018-02-14 17:24:58,"2,080s",PASSED
Statement - text1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/div_Incorrect Username or Pass)),Firefox 57.0,,2018-02-14 17:24:58,2018-02-14 17:24:58,"0,082s",PASSED
Statement - assert text1 == true,Firefox 57.0,,2018-02-14 17:24:58,2018-02-14 17:24:58,"0,002s",PASSED
doubleClick,Firefox 57.0,,2018-02-14 17:24:58,2018-02-14 17:24:59,"0,378s",PASSED
delay,Firefox 57.0,,2018-02-14 17:24:59,2018-02-14 17:25:01,"2,007s",PASSED
waitForElementPresent,Firefox 57.0,,2018-02-14 17:25:01,2018-02-14 17:25:01,"0,099s",PASSED
"Statement - text2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Incorrect Username or Password"", false)",Firefox 57.0,,2018-02-14 17:25:01,2018-02-14 17:25:01,"0,149s",PASSED
Statement - assert text2 == true,Firefox 57.0,,2018-02-14 17:25:01,2018-02-14 17:25:01,"0,001s",PASSED
focus,Firefox 57.0,,2018-02-14 17:25:01,2018-02-14 17:25:01,"0,072s",PASSED
setText,Firefox 57.0,,2018-02-14 17:25:01,2018-02-14 17:25:01,"0,098s",PASSED
focus,Firefox 57.0,,2018-02-14 17:25:01,2018-02-14 17:25:01,"0,061s",PASSED
setText,Firefox 57.0,,2018-02-14 17:25:01,2018-02-14 17:25:01,"0,102s",PASSED
sendKeys,Firefox 57.0,,2018-02-14 17:25:01,2018-02-14 17:25:01,"0,095s",PASSED
delay,Firefox 57.0,,2018-02-14 17:25:01,2018-02-14 17:25:02,"1,002s",PASSED
,,,,,,
Test Cases/Dashboard,Firefox 57.0,,2018-02-14 17:25:02,2018-02-14 17:25:06,"3,578s",PASSED
"Statement - maps = [com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_transferStatus), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_sourceQueueManager), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_destinationQueueManager), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_correlationID), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflowdashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflow), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_transfersearch), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_setting), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_monitordashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_logout), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_clearfilter), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_applyfilter)]",Firefox 57.0,,2018-02-14 17:25:03,2018-02-14 17:25:03,"0,092s",PASSED
