Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteGhibli,Chrome 64.0.3282.167,,2018-02-14 17:42:47,2018-02-14 17:43:27,"39,928s",PASSED
,,,,,,
Test Cases/Login,Chrome 64.0.3282.167,,2018-02-14 17:42:49,2018-02-14 17:43:21,"32,132s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-14 17:42:51,2018-02-14 17:43:13,"22,546s",PASSED
Statement - input_login = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_username),Chrome 64.0.3282.167,,2018-02-14 17:43:13,2018-02-14 17:43:13,"0,023s",PASSED
Statement - input_pwd = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_password),Chrome 64.0.3282.167,,2018-02-14 17:43:13,2018-02-14 17:43:14,"0,014s",PASSED
verifyElementPresent,Chrome 64.0.3282.167,,2018-02-14 17:43:14,2018-02-14 17:43:14,"0,149s",PASSED
verifyElementPresent,Chrome 64.0.3282.167,,2018-02-14 17:43:14,2018-02-14 17:43:14,"0,056s",PASSED
setText,Chrome 64.0.3282.167,,2018-02-14 17:43:14,2018-02-14 17:43:14,"0,247s",PASSED
setText,Chrome 64.0.3282.167,,2018-02-14 17:43:14,2018-02-14 17:43:14,"0,304s",PASSED
delay,Chrome 64.0.3282.167,,2018-02-14 17:43:14,2018-02-14 17:43:16,"2,037s",PASSED
Statement - text1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/div_Incorrect Username or Pass)),Chrome 64.0.3282.167,,2018-02-14 17:43:16,2018-02-14 17:43:16,"0,094s",PASSED
Statement - assert text1 == true,Chrome 64.0.3282.167,,2018-02-14 17:43:16,2018-02-14 17:43:16,"0,002s",PASSED
doubleClick,Chrome 64.0.3282.167,,2018-02-14 17:43:16,2018-02-14 17:43:17,"0,170s",PASSED
delay,Chrome 64.0.3282.167,,2018-02-14 17:43:17,2018-02-14 17:43:19,"2,003s",PASSED
waitForElementPresent,Chrome 64.0.3282.167,,2018-02-14 17:43:19,2018-02-14 17:43:19,"0,116s",PASSED
"Statement - text2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Incorrect Username or Password"", false)",Chrome 64.0.3282.167,,2018-02-14 17:43:19,2018-02-14 17:43:19,"0,097s",PASSED
Statement - assert text2 == true,Chrome 64.0.3282.167,,2018-02-14 17:43:19,2018-02-14 17:43:19,"0,001s",PASSED
focus,Chrome 64.0.3282.167,,2018-02-14 17:43:19,2018-02-14 17:43:19,"0,064s",PASSED
setText,Chrome 64.0.3282.167,,2018-02-14 17:43:19,2018-02-14 17:43:19,"0,507s",PASSED
