Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteGhibli,,,2018-02-14 13:04:57,2018-02-14 13:05:20,"22,768s",FAILED
,,,,,,
Test Cases/Login,,,2018-02-14 13:04:57,2018-02-14 13:05:19,"21,288s",FAILED
openBrowser,,,2018-02-14 13:04:58,2018-02-14 13:05:19,"20,771s",FAILED
,,,,,,
Test Cases/Dashboard,,,2018-02-14 13:05:19,2018-02-14 13:05:19,"0,538s",FAILED
"Statement - maps = [com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_transferStatus), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_sourceQueueManager), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_destinationQueueManager), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_correlationID), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflowdashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflow), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_transfersearch), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_setting), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_monitordashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_logout), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_clearfilter), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_applyfilter)]",,,2018-02-14 13:05:19,2018-02-14 13:05:19,"0,197s",PASSED
Statement - total = 0,,,2018-02-14 13:05:19,2018-02-14 13:05:19,"0,003s",PASSED
Statement - ok = 0,,,2018-02-14 13:05:19,2018-02-14 13:05:19,"0,002s",PASSED
Statement - ko = 0,,,2018-02-14 13:05:19,2018-02-14 13:05:19,"0,002s",PASSED
Statement - For (def element : maps),,,2018-02-14 13:05:19,2018-02-14 13:05:19,"0,069s",FAILED
,,,,,,
Test Cases/DashboardTransportFilter,,,2018-02-14 13:05:19,2018-02-14 13:05:19,"0,377s",FAILED
Statement - select_status = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/transferStatusCLICK),,,2018-02-14 13:05:19,2018-02-14 13:05:19,"0,016s",PASSED
"Statement - optionMap = [""SUBMITTED"":""li_SUBMITTED"", ""SUSPENDED"":""li_SUSPENDED"", ""RESUMED"":""li_RESUMED"", ""STARTED"":""li_STARTED"", ""STARTED_RETRY"":""li_STARTED_RETRY"", ... ]",,,2018-02-14 13:05:19,2018-02-14 13:05:19,"0,002s",PASSED
click,,,2018-02-14 13:05:19,2018-02-14 13:05:19,"0,020s",FAILED
