Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteGhibli,Chrome 64.0.3282.167,,2018-02-14 17:24:27,2018-02-14 17:25:16,"48,993s",PASSED
,,,,,,
Test Cases/Login,Chrome 64.0.3282.167,,2018-02-14 17:24:29,2018-02-14 17:25:06,"36,997s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-14 17:24:30,2018-02-14 17:24:58,"27,135s",PASSED
Statement - input_login = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_username),Chrome 64.0.3282.167,,2018-02-14 17:24:58,2018-02-14 17:24:58,"0,018s",PASSED
Statement - input_pwd = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_password),Chrome 64.0.3282.167,,2018-02-14 17:24:58,2018-02-14 17:24:58,"0,008s",PASSED
verifyElementPresent,Chrome 64.0.3282.167,,2018-02-14 17:24:58,2018-02-14 17:24:58,"0,304s",PASSED
verifyElementPresent,Chrome 64.0.3282.167,,2018-02-14 17:24:58,2018-02-14 17:24:58,"0,082s",PASSED
setText,Chrome 64.0.3282.167,,2018-02-14 17:24:58,2018-02-14 17:24:58,"0,343s",PASSED
setText,Chrome 64.0.3282.167,,2018-02-14 17:24:58,2018-02-14 17:24:59,"0,257s",PASSED
delay,Chrome 64.0.3282.167,,2018-02-14 17:24:59,2018-02-14 17:25:01,"2,032s",PASSED
Statement - text1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/div_Incorrect Username or Pass)),Chrome 64.0.3282.167,,2018-02-14 17:25:01,2018-02-14 17:25:01,"0,192s",PASSED
Statement - assert text1 == true,Chrome 64.0.3282.167,,2018-02-14 17:25:01,2018-02-14 17:25:01,"0,006s",PASSED
doubleClick,Chrome 64.0.3282.167,,2018-02-14 17:25:01,2018-02-14 17:25:01,"0,317s",PASSED
delay,Chrome 64.0.3282.167,,2018-02-14 17:25:01,2018-02-14 17:25:03,"2,004s",PASSED
waitForElementPresent,Chrome 64.0.3282.167,,2018-02-14 17:25:03,2018-02-14 17:25:03,"0,062s",PASSED
"Statement - text2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Incorrect Username or Password"", false)",Chrome 64.0.3282.167,,2018-02-14 17:25:03,2018-02-14 17:25:03,"0,263s",PASSED
Statement - assert text2 == true,Chrome 64.0.3282.167,,2018-02-14 17:25:03,2018-02-14 17:25:03,"0,002s",PASSED
